日期,代码,周开盘价,周开盘价标准化,最大值最小值,周开盘价标准化,周收盘价,最大值最小值,周收盘价标准化,周最高价,最大值最小值,周最高价标准化,周最低价,最大值最小值,周最低价标准化,周涨跌,lable_下周涨跌,周涨跌幅,周涨跌幅标准化,市盈率,市盈率标准化,市净率,市净率标准化,市销率,市销率标准化,市现率,市现率标准化,区间平均,成交金额,总市值,ln_市值,ln_市值标准化,Beta,Beta标准化,波动率,波动率标准化,换手率,换手率标准化,3日均价,3日均价标准化,5日均价,5日均价标准化,7日均价,7日均价标准化,10日均价,10日均价标准化
2020/1/3,688001,44.34,0.5056,33.89,0.5056,47.3,33.67,0.6123,48.21,34.6,0.5466,41.62,33.07,0.4495,1.99,0,4.392,0.2264,98.5017,0.5932,9.9726,0.2113,15.9496,0.0004,-120.9256,0.7022,61.0583,"882,413,629.00","18,967,300,000.00",23.666,0.5123,0,0.433320907,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/10,688001,46.78,0.6236,54.56,0.6236,45.74,55.93,0.5422,48.42,59.5,0.555,45.59,52.09,0.6583,-1.56,1,-3.2981,0.1799,95.2531,0.5927,9.6437,0.2033,15.4235,0.0004,-116.9374,0.7023,60.8642,"1,028,862,197.00","18,341,740,000.00",23.6324,0.5057,0.576064732,0.43937031,5.545059302,0.028544706,11.07261105,0.12974383,46.805,0.032885365,46.88,0.033315606,46.45125,0.03394883,45.96727273,0.033404285
2020/1/17,688001,45.99,0.5854,,0.5854,55.93,,1,58.37,,0.9546,43.91,,0.5699,10.19,0,22.2781,0.3344,99.3414,0.5933,11.7921,0.2556,17.8651,0.0004,-142.9888,0.7015,60.7229,"1,764,845,452.00","22,427,930,000.00",23.8336,0.5452,0.920004283,0.442982107,7.944781629,0.040897931,32.70935829,0.383273414,50.72,0.035636058,49.145,0.034925245,48.56875,0.035496401,48.21909091,0.035040675
2020/1/23,688001,53.96,0.971,,0.971,49.3,,0.7022,54.42,,0.796,44.74,,0.6136,-6.63,1,-11.8541,0.1283,87.5654,0.5917,10.3943,0.2216,15.7473,0.0004,-126.0387,0.702,60.5929,"1,478,394,878.00","19,769,300,000.00",23.7074,0.5204,2.595971768,0.46058187,11.77795161,0.060630219,16.71882196,0.195903567,49.8175,0.035001959,50.86333333,0.036146391,50.26875,0.036738844,49.20181818,0.03575482
2020/2/7,688001,39.45,0.269,,0.269,51.96,,0.8217,54,,0.7791,38.88,,0.3055,2.66,1,5.3955,0.2324,92.29,0.5923,10.9551,0.2352,16.597,0.0004,-132.8392,0.7018,60.4933,"1,582,897,057.00","20,835,960,000.00",23.7599,0.5308,-2.078098342,0.411498266,6.993399402,0.036000432,25.66286625,0.300705819,46.6225,0.03275714,45.87166667,0.032599027,46.77,0.034181788,48.28272727,0.03508692
2020/2/14,688001,52.35,0.8931,,0.8931,52.76,,0.8576,58.88,,0.9751,49,,0.8375,0.8,1,1.5396,0.2092,93.711,0.5925,11.1238,0.2393,16.8525,0.0004,-134.8844,0.7017,60.3126,"2,591,319,832.00","21,156,760,000.00",23.7752,0.5338,0.86117544,0.442364331,3.744021665,0.019273373,22.1566164,0.259621174,53.2325,0.03740135,53.03333333,0.037688517,51.15375,0.037385645,49.22454545,0.035771336
2020/2/21,688001,54.56,1,,1,53.3,,0.8819,59.5,,1,52.09,,1,0.54,0,1.0235,0.206,94.6701,0.5927,11.2376,0.2421,17.025,0.0004,-136.265,0.7017,60.1124,"1,908,038,341.00","21,373,300,000.00",23.7854,0.5358,1.781494003,0.452028831,4.298911544,0.02212982,13.56714626,0.158973662,54.945,0.038604559,54.645,0.038833859,54.655,0.039944529,53.93727273,0.039196062
2020/2/28,688001,53.22,0.9352,,0.9352,44.17,,0.4717,55.49,,0.839,44.12,,0.581,-9.13,1,-17.1295,0.0964,99.4164,0.5933,9.326,0.1955,14.018,0.0004,-112.9235,0.7025,59.9118,"1,304,142,192.00","17,712,170,000.00",23.5975,0.4988,1.839043961,0.452633178,4.925145376,0.02535353,9.696603455,0.113620398,49.4275,0.034727943,50.84833333,0.036135731,51.77125,0.037836944,52.69636364,0.038294296
2020/3/6,688001,45.33,0.5535,,0.5535,46.25,,0.5651,49.97,,0.6173,45.26,,0.6409,2.08,0,4.7091,0.2283,104.098,0.5939,9.7652,0.2062,14.6781,0.0004,-118.2412,0.7023,59.6653,"711,197,184.00","18,546,250,000.00",23.6435,0.5079,0.776809673,0.441478384,2.68672625,0.013830656,5.459788559,0.063975324,47.14,0.033120737,46.68333333,0.033175844,47.34375,0.034601112,49.18363636,0.035741608
2020/3/13,688001,46.54,0.612,,0.612,43.81,,0.4555,49.6,,0.6024,41.25,,0.4301,-2.44,0,-5.2757,0.168,98.6062,0.5932,9.25,0.1937,13.9038,0.0003,-112.0032,0.7025,59.4216,"886,369,072.00","17,567,810,000.00",23.5893,0.4972,0.780020056,0.441512097,2.787619179,0.01435003,8.773916941,0.102808776,45.655,0.032077371,45.90166667,0.032620347,46.2525,0.033803573,46.29636364,0.033643435
